"Año";"Periodo";"Agua embalsada"
"2010";"Semana 52";"41.427"
"2011";"Semana 1";"42.987"
"2011";"Semana 2";"43.353"
"2011";"Semana 3";"43.076"
"2011";"Semana 4";"42.529"
"2011";"Semana 5";"42.302"
"2011";"Semana 6";"42.040"
"2011";"Semana 7";"43.016"
"2011";"Semana 8";"44.220"
"2011";"Semana 9";"44.313"
"2011";"Semana 10";"44.195"
"2011";"Semana 11";"45.158"
"2011";"Semana 12";"45.469"
"2011";"Semana 13";"45.724"
"2011";"Semana 14";"45.788"
"2011";"Semana 15";"45.541"
"2011";"Semana 16";"45.544"
"2011";"Semana 17";"45.710"
"2011";"Semana 18";"45.903"
"2011";"Semana 19";"45.914"
"2011";"Semana 20";"45.670"
"2011";"Semana 21";"45.294"
"2011";"Semana 22";"45.030"
"2011";"Semana 23";"44.926"
"2011";"Semana 24";"44.438"
"2011";"Semana 25";"43.702"
"2011";"Semana 26";"42.857"
"2011";"Semana 27";"42.075"
"2011";"Semana 28";"41.293"
"2011";"Semana 29";"40.446"
"2011";"Semana 30";"39.734"
"2011";"Semana 31";"38.950"
"2011";"Semana 32";"38.235"
"2011";"Semana 33";"37.352"
"2011";"Semana 34";"36.637"
"2011";"Semana 35";"36.088"
"2011";"Semana 36";"35.600"
"2011";"Semana 37";"35.073"
"2011";"Semana 38";"34.616"
"2011";"Semana 39";"34.172"
"2011";"Semana 40";"33.756"
"2011";"Semana 41";"33.328"
"2011";"Semana 42";"32.933"
"2011";"Semana 43";"33.032"
"2011";"Semana 44";"33.793"
"2011";"Semana 45";"34.210"
"2011";"Semana 46";"34.658"
"2011";"Semana 47";"34.781"
"2011";"Semana 48";"34.577"
"2011";"Semana 49";"34.367"
"2011";"Semana 50";"34.447"
"2011";"Semana 51";"34.533"
"2011";"Semana 52";"34.536"
"2012";"Semana 1";"34.588"
"2012";"Semana 2";"34.469"
"2012";"Semana 3";"34.396"
"2012";"Semana 4";"34.350"
"2012";"Semana 5";"34.330"
"2012";"Semana 6";"34.501"
"2012";"Semana 7";"34.705"
"2012";"Semana 8";"34.758"
"2012";"Semana 9";"34.764"
"2012";"Semana 10";"34.724"
"2012";"Semana 11";"34.525"
"2012";"Semana 12";"34.452"
"2012";"Semana 13";"34.304"
"2012";"Semana 14";"34.354"
"2012";"Semana 15";"34.458"
"2012";"Semana 16";"34.936"
"2012";"Semana 17";"35.470"
"2012";"Semana 18";"36.404"
"2012";"Semana 19";"37.131"
"2012";"Semana 20";"37.116"
"2012";"Semana 21";"37.083"
"2012";"Semana 22";"36.755"
"2012";"Semana 23";"36.303"
"2012";"Semana 24";"35.773"
"2012";"Semana 25";"35.056"
"2012";"Semana 26";"34.009"
"2012";"Semana 27";"33.259"
"2012";"Semana 28";"32.501"
"2012";"Semana 29";"31.597"
"2012";"Semana 30";"30.754"
"2012";"Semana 31";"29.892"
"2012";"Semana 32";"29.025"
"2012";"Semana 33";"28.184"
"2012";"Semana 34";"27.450"
"2012";"Semana 35";"26.797"
"2012";"Semana 36";"26.219"
"2012";"Semana 37";"25.682"
"2012";"Semana 38";"25.209"
"2012";"Semana 39";"25.176"
"2012";"Semana 40";"25.065"
"2012";"Semana 41";"24.777"
"2012";"Semana 42";"25.226"
"2012";"Semana 43";"25.836"
"2012";"Semana 44";"26.717"
"2012";"Semana 45";"27.960"
"2012";"Semana 46";"28.322"
"2012";"Semana 47";"28.666"
"2012";"Semana 48";"28.981"
"2012";"Semana 49";"29.272"
"2012";"Semana 50";"29.942"
"2012";"Semana 51";"30.783"
"2012";"Semana 52";"30.872"
"2013";"Semana 1";"30.969"
"2013";"Semana 2";"30.976"
"2013";"Semana 3";"32.588"
"2013";"Semana 4";"34.528"
