"","tz_time","month","year","spot_price","GP48_export","GP48_import","GP48_cogen","GP48_wind","GP48_coal","GP48_pumping_con","GP48_cogen_ng","GP48_biomass","GP48_thermosolar","GP48_PV","GP48_CC","GP48_pumping_tur","GP48_nuclear","GP48_hydro_noUGH","GP48_hydro_UGH","GP48_hydro_total","GP48_total","Demand_actual","Demand_scheduled","Demand_forecasted"
"16",2015-04-01,4,2015,45.3376388888889,-1461.80597222222,1133.53939393939,2530.41652777778,5535.02722222222,4074.90875,-940.231797235023,2530.41652777778,435.866944444444,567.112328767123,1438.22586872587,2308.31527777778,437.708163265306,6512.45777777778,790.086388888889,2919.04236111111,3709.12875,26113.8819444444,156986.005555556,156961.775,127133.020833333
"17",2015-05-01,5,2015,45.1218682795699,-1123.0998655914,1347.90483870968,2594.08790322581,6533.83508064516,3764.42540322581,-750.036397748593,2594.08790322581,506.110752688172,985.193622795115,1506.7347972973,2134.29623655914,458.57898989899,4782.81666666667,785.252553763441,3176.30067204301,3961.55322580645,25879.0825268817,159591.366935484,159581.879032258,159902.528225806
"18",2015-06-01,6,2015,54.7289305555556,-1240.76833333333,1240.43013888889,2963.43930555556,4229.83069444444,7384.215,-495.798066298343,2963.43930555556,532.911111111111,1087.31818181818,1658.358203125,2640.39541666667,295.209112709832,5254.24722222222,587.325416666667,2845.12069444444,3432.44611111111,27506.8044444444,169429.681944444,169487.283333333,169451.3
"19",2015-07-01,7,2015,59.5465860215054,-1321.7185483871,1056.95658602151,2950.58602150538,4059.93198924731,8161.23857526882,-565.314935064935,2950.58602150538,570.424596774194,1231.15806451613,1652.95757575758,4656.28938172043,250.508941176471,6475.99072580645,442.659677419355,2298.54690860215,2741.20658602151,30655.0423387097,189272.522849462,189244.467741935,189307.600806452
"20",2015-08-01,8,2015,55.5860752688172,-1392.21317204301,1050.08185483871,2766.68561827957,4213.80201612903,6973.30443548387,-756.968445475638,2766.68561827957,576.21626344086,946.921536351166,1634.32943548387,3182.61303763441,401.320086393089,6672.43306451613,403.665322580645,1821.29569892473,2224.96102150538,27728.5610215054,168079.818548387,167983.35483871,168166.943548387
"21",2015-09-01,9,2015,51.8782777777778,-1130.68555555556,879.91223922114,2999.84680555556,4332.67541666667,6374.1525,-587.974557522124,2999.57972222222,569.088472222222,710.922535211268,1468.64173728814,2783.16402777778,322.465178571429,6769.0675,394.73625,1860.65847222222,2255.39472222222,27180.5244444444,162780.276388889,162623.675,162875.802777778
"22",2015-10-01,10,2015,49.8953020134228,-1079.34751677852,1659.96837837838,2991.38604026846,5339.90604026846,5785.81785234899,-878.287264150943,2990.88832214765,569.812214765101,326.36824925816,976.156007393715,2833.68375838926,430.175918367347,5505.4755704698,400.54067114094,1814.9867114094,2215.52738255034,25193.8539597315,159464.656375839,158921.057718121,159434.597315436
"23",2015-11-01,11,2015,51.1981944444444,-1441.05166666667,2088.8922425952,2992.63722222222,5267.00972222222,6370.14541666667,-1061.81774580336,2991.74625,575.224027777778,415.463301282051,1053.43734439834,2934.90555555556,447.097983870968,5509.23152777778,547.638611111111,2142.73208333333,2690.37069444444,26480.0716666667,166077.144444444,165613.85,166034.855555556
"24",2015-12-01,12,2015,52.6101075268817,-1285.69583333333,2495.69408602151,2954.08010752688,4805.70967741936,6224.60752688172,-1236.38826185102,2952.86129032258,520.993279569892,178.745405405405,832.370575692964,3590.75497311828,509.62138836773,6532.42016129032,488.024462365591,1498.67889784946,1986.70336021505,26524.1990591398,168378.930107527,168156.806451613,168570.510752688
"25",2016-01-01,1,2016,36.5281048387097,-1543.11653225806,2758.89072022161,2915.5061827957,7644.62137096774,3461.57163978495,-1576.35,2914.06922043011,496.265456989247,141.277426160338,748.176086956522,2523.13266129032,671.631826741996,6188.50120967742,807.865860215054,3909.03454301075,4716.90040322581,27824.277688172,173947.409946237,173607.169354839,173987.407258065
"26",2016-02-01,2,2016,27.4990086206897,-1565.43505747126,3004.25653450808,2858.74224137931,8879.74784482759,2518.54396551724,-1410.3638996139,2626.88175287356,378.46408045977,334.457792207792,971.433747412008,1833.52701149425,701.566793168881,5692.5007183908,896.784913793103,5025.6933908046,5922.4783045977,28509.0675287356,180157.350574713,179584.853448276,180225.594827586
"27",2016-03-01,3,2016,27.8045625841184,-1611.7067294751,1943.37407407407,2780.58452220727,7324.84387617766,2204.85114401077,-1168.90879541109,2473.08061911171,267.636608344549,603.219364599092,1130.2597972973,1757.35868102288,534.649194991055,6968.34306864065,938.35935397039,4971.6597577389,5910.01911170929,27961.1421265141,173467.091520861,172823.144010767,173485.616419919
"28",2016-04-01,4,2016,24.1094861111111,-2074.28527777778,1990.43850574713,2792.16652777778,6395.23305555556,1186.53930555556,-1083.70863309353,2473.44152777778,218.376111111111,604.431354642314,1256.58745387454,1576.85472222222,697.609844559585,7010.38402777778,1153.89875,6133.02930555556,7286.92805555556,27517.3248611111,166312.918055556,165960.525,166298.965277778
